"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude"
"RT @allisonnsedigi1: 8 Steps to Dominating the Local Google Search Results for Your Keywords #SEO #searchengineoptimization #infographic #m…";FALSE;0;NA;2018-04-10 13:02:33;FALSE;NA;"983691706431193088";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"simplivllc";8;TRUE;FALSE;NA;NA
"RT @Light4ASD: @MrButlerFan @heroldbarton @Analytics_Edge @Strat_AI @Analytics_HQ @gt7775372 @RitaSofiale @wanderingstarz1 @xRedLightCamera…";FALSE;0;NA;2018-04-10 13:02:27;FALSE;NA;"983691680980316160";NA;"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Lite</a>";"heroldbarton";1;TRUE;FALSE;NA;NA
"RT @divyesh_thorat: Top Social Media Trends for 2018 - #Infographic #GrowthHacking #DigitalDay18 #makeyourownlane #DigitalMarketing #defsta…";FALSE;0;NA;2018-04-10 13:02:24;FALSE;NA;"983691669601054720";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"simplivllc";7;TRUE;FALSE;NA;NA
"RT @SimplyVitalHQ: With ConnectingCare, our first dApp for #HealthNexus, we’ve created a #blockchain analytics platform to help #healthcare…";FALSE;0;NA;2018-04-10 13:02:12;FALSE;NA;"983691619500285954";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"LenaR25015121";843;TRUE;FALSE;NA;NA
"RT @DailyMail: Russia starts JAMMING US drones over Syria 'seriously' hampering military operations https://t.co/7BDkbM4S7z";FALSE;0;NA;2018-04-10 13:02:09;FALSE;NA;"983691606288150528";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"Aloha_Analytics";211;TRUE;FALSE;NA;NA
"If You Traded Crypto on Coinbase, the IRS Might Be Coming For You https://t.co/yMOG3b1Trd via @Nextgov";FALSE;0;NA;2018-04-10 13:02:06;FALSE;NA;"983691594242101249";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"CarisaSand";0;FALSE;FALSE;NA;NA
"RT @strosow: Please read this report from @NPR before you respond to any more online “quizzes”. . . . Facebook Suspends Another Data Analyt…";FALSE;0;NA;2018-04-10 13:02:06;FALSE;NA;"983691593239670784";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"colonialip";1;TRUE;FALSE;NA;NA
"RT @Ronald_vanLoon: Top 10 #DataScience Skills, And How To Learn Them
by @DataconomyMedia @ferrisjumah @AndrewYNg | 

Read here: https://t.…";FALSE;0;NA;2018-04-10 13:02:05;FALSE;NA;"983691587355074560";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"inquizzitech";23;TRUE;FALSE;NA;NA
"#Blog #MarketResearch firms are increasing their focus on analytics, social media, and data visualization… https://t.co/LwfMbgicPL";FALSE;0;NA;2018-04-10 13:02:05;TRUE;NA;"983691587145252866";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"MAKnowledgeServ";0;FALSE;FALSE;NA;NA
"Why is it important to establish the characteristics and actions of the D&amp;A insights-driven businesses setting the… https://t.co/8UO3edPdVS";FALSE;0;NA;2018-04-10 13:02:03;TRUE;NA;"983691578387718144";NA;"<a href=\"http://www.oktopost.com\" rel=\"nofollow\">Oktopost</a>";"northhighland";0;FALSE;FALSE;NA;NA
"New Research from Sumo Logic Reveals Widespread Demand for Disruptive Security Analytics Tools to Accelerate Modern… https://t.co/NFHqra8Puo";FALSE;0;NA;2018-04-10 13:02:03;TRUE;NA;"983691578349940736";NA;"<a href=\"http://test.zonebourse.com\" rel=\"nofollow\">Zonebourse Communauté</a>";"ForTraders";0;FALSE;FALSE;NA;NA
"JOIN Us... this Thursday for our Seminar Series with Dr. David Kent, Tufts Medical Center  \"Special Topics in Predi… https://t.co/TqWRDNMvXg";FALSE;0;NA;2018-04-10 13:02:02;TRUE;NA;"983691577423007745";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"msuepibio";0;FALSE;FALSE;NA;NA
"There are many tools to measure analytics &amp; @googleanalytics is 1 of the most widely used &amp; free. Here are tips to… https://t.co/7Iz4pVOs7w";FALSE;0;NA;2018-04-10 13:02:02;TRUE;NA;"983691576366063616";NA;"<a href=\"http://bufferapp.com\" rel=\"nofollow\">Buffer</a>";"gijn";0;FALSE;FALSE;NA;NA
"Baseball hardly recognizable in new era of analytics-driven strategy https://t.co/SvDk4qw32v https://t.co/9ZsuDWXajl";FALSE;0;NA;2018-04-10 13:02:01;FALSE;NA;"983691573622796288";NA;"<a href=\"https://dlvrit.com/\" rel=\"nofollow\">dlvr.it</a>";"jepangnet";0;FALSE;FALSE;NA;NA
"Fox Analytics have been surprising in more ways than one. I think they’re part of the Shep Smith rebellion... https://t.co/Okzj11Vs9V";FALSE;0;NA;2018-04-10 13:01:55;FALSE;NA;"983691544724230144";NA;"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>";"randibaker01";0;FALSE;FALSE;NA;NA
"RT @WorldTrendsInfo: The Artificial Intelligence Ecosystem [Infographic] 

#AI #CyberSecurity #BigData #IoT #Analytics #IIoT #innovation #M…";FALSE;0;NA;2018-04-10 13:01:45;FALSE;NA;"983691506455281665";NA;"<a href=\"https://twitter.com/JavaBot_\" rel=\"nofollow\">java bot 7</a>";"CodingFlux_";17;TRUE;FALSE;NA;NA
"RT @EY_Tax: In case you missed it, @JeffreySaviano speak to our Global Advisory AI/Analytics Leader, Beatriz Sanz Saiz, on how diversity in…";FALSE;0;NA;2018-04-10 13:01:45;FALSE;NA;"983691505427779584";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"JeffreySaviano";1;TRUE;FALSE;NA;NA
"A key component to establishing a strong predictive analytics program is having access to the right data &amp; the tool… https://t.co/MxoN5QwpBe";FALSE;0;NA;2018-04-10 13:01:44;TRUE;NA;"983691502177214464";NA;"<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">Hootsuite</a>";"3CSoftware";0;FALSE;FALSE;NA;NA
"Interested in Data Analytics? We have a new track for you.https://t.co/KUNua7MoYx";FALSE;0;NA;2018-04-10 13:01:44;FALSE;NA;"983691500033888256";NA;"<a href=\"http://www.hootsuite.com\" rel=\"nofollow\">Hootsuite</a>";"U_Richmond_MBA";0;FALSE;FALSE;NA;NA
"RT @HaroldSinnott: The 5 levels of #BigData maturity https://t.co/IeT5AOsoqd via @DataconomyMedia #analytics #datascience #infographic 

RT…";FALSE;0;NA;2018-04-10 13:01:43;FALSE;NA;"983691496552521728";NA;"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>";"simplivllc";10;TRUE;FALSE;NA;NA
"Oracle : New Oracle Marketing Cloud Analytics Blast through Data Silos and Enable Pinpoint Targeting  https://t.co/HKDtbbKZJw";FALSE;0;NA;2018-04-10 13:01:43;FALSE;NA;"983691495394959360";NA;"<a href=\"http://test.zonebourse.com\" rel=\"nofollow\">Zonebourse Communauté</a>";"ForTraders";0;FALSE;FALSE;NA;NA
